ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007063	regulation of sister chromatid cohesion	14/5381	17/18870	6.26578918986092e-06	0.000377916599422754	0.000302202624485422	MACROH2A1/NAA10/ESPL1/SLF1/SMC5/CTCF/AXIN2/CTNNB1/BUB1/WAPL/TNKS/SLF2/FEN1/NSMCE2	14
GO:0006446	regulation of translational initiation	43/5381	83/18870	6.44552137425712e-06	0.000385089498709154	0.000307938464067041	EIF4B/YTHDF1/PAIP2/AGO2/DDX1/POLR2G/NCK2/PAIP1/TPR/EIF3H/GIGYF2/FECH/DHX29/EIF3K/PAIP2B/BZW1/LARP1/BZW2/EIF4E2/EIF1/TMED2/KHDRBS1/EIF3E/IMPACT/FMR1/PPP1R15B/ZNF598/ATF4/DDX3X/EIF2B5/EIF4H/CDC123/NPM1/PPP1R15A/EIF1B/RPS6KB2/NCBP2/YTHDF2/EIF2AK4/MTIF2/EIF4A2/EIF4EBP3/CSDE1	43
GO:0008202	steroid metabolic process	130/5381	327/18870	6.86841468115548e-06	0.000399996962804064	0.000319859281466396	CETP/LGMN/ABCG1/ABCA1/PLPP6/CYP2C19/IGF1R/PRKAG2/EGR1/HMGCS1/BMP6/UGT2B4/IDI1/LRP5/PRLR/SQLE/LIPA/SCARF1/DAB2/PMVK/OSBPL5/HMGCS2/PRKAA1/ABCB11/SF1/FDFT1/HSD17B6/DHRS4/PIP4P1/NSDHL/CYP7B1/LBR/FECH/HMGCR/CYP46A1/SPP1/TM7SF2/PIAS4/SEC14L2/LIPE/STS/SNAI2/CYB5R1/MSMO1/UGT2B15/DKK3/ATP8B1/PROX1/APP/SNX17/SCP2/MECP2/ABCA2/CYP2E1/UGT2B7/NFE2L1/EBP/FGFR4/CYP1A2/HINT2/OSBPL2/INSIG2/APOA2/NR5A2/INSIG1/LIPC/TTC39B/ARV1/RORA/VLDLR/DHCR24/PON1/APOBR/MVD/CACNA1H/UGT1A4/LDLR/AKR1C3/CYP2B6/CYP26B1/AKR1B1/CYP8B1/SRD5A1/APOE/WNT4/YWHAH/FDPS/APOL1/CEBPA/HSD17B7/SHH/PDGFRA/UGT2B28/ERLIN2/CH25H/DHCR7/SCAP/ABCD3/STARD4/UGT2A1/ASAH1/G6PD/LEPR/UGT2B10/PBX1/ERG28/NR1H4/UGT2B11/MED1/AKR1B15/CFTR/SGPL1/UGT2A3/DDX20/ERLIN1/AMACR/PRKAA2/NPC1/SRD5A3/SERPINA6/OSBPL3/RORC/NR3C1/CYP17A1/HSD17B2/APOL2/EPHX2/NR0B2/G6PC1/CYP21A2	130
GO:0042326	negative regulation of phosphorylation	130/5381	327/18870	6.86841468115548e-06	0.000399996962804064	0.000319859281466396	SEMA4D/LRRK1/NF2/DUSP10/CRKL/ENG/DUSP7/PRKAR1A/SLC8A1/TSC2/SH3BP5/PRKAG2/HIPK3/TSG101/PPP2R5A/SPRED1/DYNLL1/RASIP1/MIDN/TRIB2/ZBED3/THY1/PTPRJ/PTPRB/RTRAF/LRP5/BAX/PTPRT/PRKDC/NCK2/PTPN2/GSKIP/STK38/ABL1/CBL/PARP14/TAF7/PARK7/PTPRO/TGFB1/CDKN1A/PRDX3/UBASH3B/CALM1/TRIB3/PPP2CA/SPAG9/PTPN1/IRAK3/LATS1/ITGB1BP1/RUBCN/HHEX/LRP6/NF1/CD300A/SMCR8/CDK5RAP1/SNX6/APC/OCLN/PTPRC/PRKAR2B/RASSF2/MACROH2A1/ENPP1/CIB1/LYN/PDCD4/TFAP4/SOCS1/NR2F2/TARBP2/DUSP19/CDKN2C/HEG1/TMED2/TRAF3IP1/MVP/IMPACT/CALM2/PPP1R15B/DNAJA1/CDKN2D/QARS1/DBNDD1/PIBF1/HNRNPU/PDE4D/PLK1/CDKN2A/RABGEF1/GRB10/GPRC5A/CACTIN/GNAQ/LATS2/BAK1/MYOCD/APOE/SORL1/PRR5L/PYCARD/VPS25/CEBPA/CDKN1C/NLRP12/RGS2/NPM1/CDK5RAP3/SAMSN1/TARDBP/PPM1F/GGNBP2/DUSP22/BDKRB2/SPINK1/PTPN6/ADARB1/TERF2IP/IGFBP3/DNAJC10/DMD/PRKRIP1/DVL1/NTRK3/SPRY3/INHBA/PBK/RACK1	130
GO:0072594	establishment of protein localization to organelle	174/5381	459/18870	6.88452059776456e-06	0.000399996962804064	0.000319859281466396	STK4/IL10RA/NOTCH1/CCT4/SRP9/SEC61B/PEX2/RPAIN/IFT122/FZD5/POM121/RNF31/MTX2/TSC2/VPS13C/SPCS1/UBL5/TSG101/HSP90AA1/POM121C/PDCD5/TOMM7/SRPRB/TNPO1/GGA3/JUP/SRP19/SUFU/NUP188/MAIP1/BAX/RAB8B/EP300/ATG13/PMPCA/UBR5/SAE1/SNF8/TPR/CD36/HK2/CBL/BBC3/HUWE1/PRKAA1/TGFB1/CDKN1A/LAPTM5/PTPN23/VPS13A/PARL/TIMM17B/SRP14/BECN1/SMAD3/DDIT3/SPCS2/NUP54/TP53/GET4/BCAP31/RAB7A/TOMM40L/TIMM17A/CHMP4B/NF1/HIKESHI/CDK1/HAX1/ZFYVE16/ING1/CCT5/TNPO2/TRAM2/SUMO1/HCLS1/IPO8/MFF/TIMM8B/MACROH2A1/CHMP4A/TSPAN17/DKC1/UBAP1/MTCH2/NUP155/PIK3C3/OXA1L/TIMM9/CCT7/CCT6A/RAC2/IMMP2L/CCT3/TIMM23/APPL1/NUP35/MON1B/VPS13D/SMURF1/NUP88/NUP153/CCT2/LONP2/HGS/DNAJA1/NUP214/RANBP17/IMMP1L/PITRM1/SPIDR/VPS53/EDEM1/TOMM34/BAG6/USP9X/HK1/SSR3/RANGRF/PMPCB/FAM53B/SQSTM1/SRP72/SORL1/ZPR1/VPS25/FERMT1/HSPA5/TIMM44/SNUPN/SHH/ATP5IF1/RANBP2/VPS37D/SEC61A1/MAVS/FBXO7/GRPEL2/IPO4/PML/RANBP6/TARDBP/MAPK14/NUP50/HPS4/APPL2/KPNA4/MED1/IPO13/SPRN/MOAP1/PRKD1/PINK1/TOMM20/PAM16/DNAJC15/ADCY10/KPNA2/JAK2/SYK/BCS1L/HTRA2/ARIH2/IL33/PEX19/VPS4A/WRAP53/ELAVL1/TRMT10B/M6PR/LAMP2/MACROH2A2/HSPD1/LAMP3	174
GO:0032386	regulation of intracellular transport	133/5381	336/18870	7.01411152106852e-06	0.000403821529662972	0.0003229176127068	PCNT/ATP13A2/NF2/ARHGAP1/ANXA2/FZD5/ERLEC1/RNF31/GAS1/UBL5/RIPOR1/HSP90AA1/PDCD5/TOMM7/PRKACA/RAPGEF3/JUP/SUFU/SNX12/EP300/ATG13/DENND10/UBR5/SAE1/XPO4/DAB2/TPR/CD36/GSK3B/BBC3/HUWE1/PRKAA1/PARK7/NDEL1/TGFB1/PTPN23/IFI27/PARL/USP7/BORCS5/SMAD3/NUS1/NUP54/PTPN1/NEFH/NUMA1/BCAP31/YWHAE/ITGB1BP1/RAB11B/STX18/RAB29/NF1/CDK1/HAX1/TXN/DERL2/NSUN2/REEP5/C2CD5/SUMO1/HCLS1/MFF/SP100/CEP290/CTDSPL2/CIB1/DYNC1H1/ERGIC3/SCP2/MECP2/RAC2/ABCA2/PDCD10/SUPT6H/EHD1/DERL3/KHDRBS1/DNAJC13/CRYAB/ATP2A1/ZDHHC2/NUP153/TM9SF4/NUP214/INSIG1/ARV1/EDEM1/B3GAT3/PTPN14/SVIP/MDM2/SLC51B/CDK5/TRIM58/SORL1/PRR5L/ZPR1/ANP32B/AKAP5/SAR1A/FERMT1/OAZ2/SHH/ATP5IF1/RANGAP1/WNK1/MAVS/SCFD1/FEZ1/TMEM30B/WWC1/TARDBP/MAPK14/UBE2J1/HPS4/PRKD1/PINK1/MIEF1/NCBP2/DYNLT2B/SNAPIN/CPSF6/HAP1/ADCY10/JAK2/EDEM2/HTRA2/SPAG5/ARIH2/RAB11FIP3/ANK3/ITGAM	133
GO:0042274	ribosomal small subunit biogenesis	51/5381	104/18870	7.3776189242222e-06	0.000420923068892785	0.000336592931668402	RPS27L/FCF1/RPS7/NOP58/UTP20/RPS11/RPS12/RPS14/RPS13/PRKDC/RPS17/RPS24/RPS19/DCAF13/RPS4X/LSM6/MRPS7/RPS6/EMG1/WDR36/LTV1/FBL/BYSL/RPS8/HEATR1/DDX52/GTF2H5/NGDN/C1orf131/WDR46/RPS3A/RPS25/TSR2/UTP3/UTP23/ABT1/NPM1/ERAL1/MPHOSPH10/UTP15/UTP25/SNU13/RPSA/UTP11/UTP6/BMS1/RRP7A/LOC102724159/DNTTIP2/RCL1/PNO1	51
GO:0042273	ribosomal large subunit biogenesis	40/5381	76/18870	8.1475208137937e-06	0.000460698654587103	0.000368399648826706	NOL9/RPL23A/RPL7L1/MAK16/RPF1/RPL26/RPL7/GTF3A/RPL11/NSA2/RPL6/RPL10/NIFK/RSL1D1/MDN1/URB1/RPL7A/PAK1IP1/BRIX1/DDX18/RPF2/RPL24/NIP7/MRTO4/NHP2/RSL24D1/MRPL20/RPL5/TMA16/RPL35A/AIRIM/AFG2B/NPM1/PES1/SNU13/NOP53/ZNF622/ZNHIT3/MRM2/EBNA1BP2	40
GO:0072331	signal transduction by p53 class mediator	77/5381	175/18870	8.31823650544403e-06	0.000466189307867054	0.000372790273196938	RPS27L/SMYD2/HIPK2/PHLDA3/TRIAP1/RPS7/PPP1R13B/KAT6A/HINT1/RPL26/SPRED1/RPL37/DYRK1A/FOXM1/CASP2/CASP6/HIC1/BAX/EP300/RPL11/KDM1A/UBB/EEF1E1/TAF9/HIPK1/CDKN1A/WWOX/USP7/PRAP1/PLK2/PIP4P1/TP53/RRM2B/ACER2/MIF/CD44/SNAI2/SP100/TFAP4/PAK1IP1/ZNF385A/RPF2/AURKB/PERP/MYBBP1A/SOX4/TAF1/COPS3/ATM/BAG6/RPL5/DYRK2/MDM2/USP2/PYCARD/ZNF385B/SHISA5/NPM1/CDK5RAP3/MYC/PSMD10/PML/MYO6/HNRNPK/E2F1/NOP53/CDIP1/KAT5/CHEK2/BDKRB2/AEN/RPS20/SETD9/ZMPSTE24/ING2/SGK1/YJU2	77
GO:0046165	alcohol biosynthetic process	66/5381	145/18870	9.32350226825968e-06	0.00051794508653411	0.000414177002886402	ABCG1/ITPKB/PLPP6/ITPKC/HRH1/HMGCS1/BMP6/IDI1/ACER3/PCK2/CD244/ISYNA1/LIPA/DAB2/PMVK/HMGCS2/PRKAA1/PARK7/FDFT1/NUS1/NSDHL/P2RY6/LBR/HMGCR/ACER2/TM7SF2/SEC14L2/MSMO1/DKK3/ABCA2/PTH1R/EBP/IP6K2/INSIG2/SPR/INSIG1/PLEK/SPTLC2/ARV1/DHCR24/PTK2B/MVD/CACNA1H/APOE/WNT4/FDPS/PTS/GPER1/HSD17B7/ERLIN2/PTAFR/DHCR7/SCAP/ASAH1/G6PD/FGF2/CFTR/ERLIN1/SPTLC1/PRKAA2/SRD5A3/SPTSSB/IP6K3/MOXD1/ASAH2/PLCG2	66
GO:0042255	ribosome assembly	35/5381	64/18870	9.77830338353433e-06	0.000538486915894982	0.000430603364560033	RPS27L/RPL23A/EIF1AX/RPS14/NGRN/RPL11/PRKDC/RPL6/RPS19/SBDS/RPL10/MRPS7/DHX29/MDN1/MTERF3/BRIX1/RPF2/RPL24/NIP7/MRTO4/DDX3X/MRPL20/RPL5/NOA1/C1QBP/ABT1/MPV17L2/NPM1/ERAL1/RPSA/NOP53/RRP7A/LOC102724159/MRM2/EFL1	35
GO:0016125	sterol metabolic process	69/5381	154/18870	1.14456048741198e-05	0.000620072198063686	0.000495843384258627	CETP/ABCG1/ABCA1/PLPP6/PRKAG2/HMGCS1/IDI1/LRP5/SQLE/LIPA/SCARF1/PMVK/OSBPL5/HMGCS2/PRKAA1/FDFT1/PIP4P1/NSDHL/CYP7B1/LBR/FECH/HMGCR/CYP46A1/TM7SF2/SEC14L2/LIPE/CYB5R1/MSMO1/APP/SNX17/NFE2L1/EBP/CYP1A2/INSIG2/APOA2/INSIG1/LIPC/TTC39B/ARV1/VLDLR/DHCR24/PON1/APOBR/MVD/LDLR/CYP26B1/CYP8B1/APOE/FDPS/APOL1/CEBPA/HSD17B7/ERLIN2/CH25H/DHCR7/SCAP/STARD4/G6PD/LEPR/ERG28/NR1H4/CFTR/ERLIN1/PRKAA2/NPC1/APOL2/EPHX2/NR0B2/CYP21A2	69
GO:0019058	viral life cycle	127/5381	321/18870	1.14848614725403e-05	0.000620072198063686	0.000495843384258627	CR1/SIGLEC1/AXL/MRC1/CD209/NOTCH1/CHMP5/DYNLT1/CLEC4G/ATG5/F11R/PPIB/BST2/SPCS1/TSG101/TPCN1/SLC20A2/TOP2A/RAB43/ZNF639/GRK2/BANF1/VAMP8/CTSB/APOBEC3B/IFI27/IST1/SELPLG/HACD3/DDX6/RAB7A/TRIM8/NRP1/CHMP4B/CTSL/PPIH/CDK1/ISG15/TMEM41B/LAMTOR5/CLEC4M/TPCN2/ITCH/ITGB3/EFNB2/EPS15/CHMP4A/CCL2/LARP1/PIK3C3/PROX1/PLSCR1/IFIT1/TRIM31/CD4/PCSK5/TARBP2/SMC5/HTATSF1/EPHA2/CD55/CTBP2/ILF3/FURIN/TRIM38/FMR1/NMT2/NUP153/NR5A2/CCNK/CTBP1/APOBEC3C/TRIM22/DDX3X/SLPI/HSP90AB1/PIKFYVE/SMARCB1/MVB12B/CD86/CSNK2B/ANPEP/OAS1/SLC1A5/ITGB1/TRIM58/P4HB/LDLR/APOE/IFITM3/YTHDC2/PPID/CD46/GSN/ZNF502/NCAM1/CH25H/IFITM1/VPS37D/ICAM1/MAVS/CIITA/CLDN9/RPSA/JPT2/GBP7/IFITM2/DEK/RAB1A/ADARB1/LGALS1/CLDN1/NPC1/EIF2AK4/PCBP2/CHMP2B/KPNA2/ARL8B/PC/OASL/APOBEC3F/VPS4A/TASOR/SLC7A1/FBXL2/LAMP3/CHMP2A	127
GO:1904951	positive regulation of establishment of protein localization	128/5381	324/18870	1.15535321919335e-05	0.000620072198063686	0.000495843384258627	PCNT/ATP13A2/ABCG1/CCT4/ADAM9/PRKAR1A/CD38/FZD5/HCAR2/RNF31/MYO18A/UBL5/RIPOR1/TSG101/FRMD4A/BMP6/HSP90AA1/PDCD5/SERP1/TOMM7/PRKACA/RAPGEF3/PCK2/JUP/ADAM8/MPC2/BLK/EP300/ATG13/TCF7L2/UBR5/AACS/SAE1/XPO4/TLR4/HIF1A/TPR/GSK3B/BBC3/HUWE1/PRKAA1/MYH10/TGFB1/PTPN23/GPLD1/SMAD3/BCAP31/YWHAE/ITGB1BP1/RAB29/CDK1/IER3IP1/CCT5/C2CD5/HCLS1/MFF/F2RL2/PRKCB/CEP290/CTDSPL2/DKC1/ACSL4/CIB1/F2RL1/RPH3AL/ERGIC3/CCT7/CCT6A/RAC2/PDCD10/CCT3/MCU/IGF1/CEP295/CD33/ZDHHC2/ARHGEF5/CCT2/SOX4/GOLPH3L/TM9SF4/TREM2/EDEM1/B3GAT3/PDX1/ARF6/MDM2/SLC51B/CDK5/SORL1/PRR5L/ZPR1/ANP32B/AKAP5/SNAP25/PPID/SAR1A/CENPJ/GPER1/OAZ2/SHH/MAVS/ABAT/TMEM30B/NR1H4/TARDBP/MAPK14/DOC2B/HPS4/EXPH5/VSNL1/CFTR/PRKD1/PINK1/MIEF1/ADCY10/JAK2/WLS/EDEM2/HTRA2/ARIH2/GOLPH3/PFKFB2/WRAP53/NR0B2/ANK3/RACK1/ITGAM	128
GO:1903131	mononuclear cell differentiation	180/5381	481/18870	1.18215504743769e-05	0.000629125034909487	0.000503082523947168	VCAM1/CR1/VAV1/AXL/CSF1R/ONECUT1/ZFPM1/SMARCC2/DUSP10/INPP5D/CLEC4G/ATG5/ZBTB46/NKAP/DOCK2/DLL4/ITPKB/FZD5/NRARP/HDAC4/IRF8/EGR1/BTN2A2/CEBPB/PREX1/SOX13/PTPRJ/NFAM1/ADAM8/FCER1G/SPI1/MERTK/CEBPG/BAX/EP300/PIK3CD/HECTD1/PRKDC/LILRB2/FGL2/LIPA/PTPN2/ABL1/ADAM17/BRD7/TGFB1/NCKAP1L/TCF3/ANXA1/RPL22/JAK1/TGFBR2/TP53/FNIP1/MAFB/HHEX/PDE1B/CTSL/MYH9/PIR/SMARCA2/TSC1/CBFB/HDAC9/ZMIZ1/RPS6/PTPRC/ACTB/B2M/IKZF1/AZI2/LILRB1/SMARCE1/LYN/SOCS1/F2RL1/ATP7A/CD4/CAMK4/FZD9/CSF1/DCSTAMP/MMP14/LOXL3/RIPK3/PPP2R3C/DOCK10/SOS1/CMTM7/TMEM131L/SOX4/XBP1/SASH3/ZAP70/VNN1/LAG3/TREM2/PATZ1/ATM/CTSK/RORA/SMARCB1/CD86/CD79B/ITGB1/PTK2B/TPD52/SLC39A7/IKZF3/BAK1/CYP26B1/PTGER4/WNT4/RARA/IL34/CD46/NFKBIZ/TBX21/PLA2G2D/SHH/CTNNB1/NLRP3/DOCK11/HDAC5/GPR89A/MFNG/RUNX1/RELB/PHF14/ACTL6A/IL2RA/CARD11/MYC/FBXO7/NFATC1/LEPR/PBX1/MED1/TRAF6/CLPTM1/CLEC4E/KDELR1/FLT3/KAT5/SP3/GATA3/RAG1/ZFP36L1/FOS/PTPN6/PGLYRP1/IL7/LGALS1/MR1/TMEM176B/RC3H1/FZD8/DLL1/FCRL3/JMJD6/CDK6/FANCA/SYK/RASGRP1/GPR89B/NCAPH2/RNF41/RORC/PGLYRP2/DROSHA/AGER/STAT4/TMEM98/INHBA/NFIL3/IL15/NOTCH2/FADD/PLCG2/UBD	180
GO:0016126	sterol biosynthetic process	36/5381	67/18870	1.24501924825432e-05	0.000657058908266216	0.000525419965206274	ABCG1/PLPP6/PRKAG2/HMGCS1/IDI1/SQLE/LIPA/PMVK/HMGCS2/PRKAA1/FDFT1/NSDHL/LBR/HMGCR/TM7SF2/SEC14L2/CYB5R1/MSMO1/EBP/INSIG2/INSIG1/ARV1/DHCR24/MVD/APOE/FDPS/HSD17B7/ERLIN2/CH25H/DHCR7/SCAP/G6PD/ERG28/CFTR/ERLIN1/PRKAA2	36
GO:0010212	response to ionizing radiation	63/5381	138/18870	1.31121201568955e-05	0.000686273197963797	0.000548781296866676	VCAM1/EGR1/RPL26/MTA1/BABAM1/NET1/BAX/PRKDC/KDM1A/CBL/PRKAA1/CDKN1A/PRAP1/ANXA1/COP1/TP53/ERCC6/RAD51/CXCL10/RAD1/PTPRC/EYA3/POLB/SNAI2/RHNO1/MECP2/RNF8/BRCC3/TICRR/RAD51AP1/ERCC8/CRYAB/GPX1/GTF2H5/SPIDR/INTS3/PARP1/ATM/MDM2/BAK1/SWI5/IKBIP/RNF168/HSF1/TSPYL5/YAP1/MYC/KARS1/PML/MAPK14/XRCC4/KAT5/CHEK2/GATA3/AEN/THBD/ZMPSTE24/TANK/RAD54L/EEF1D/RAD54B/BRAT1/TP53BP1	63
GO:0033674	positive regulation of kinase activity	132/5381	337/18870	1.39802781979393e-05	0.000709695234850985	0.000567510828802861	FLT4/AXL/CSF1R/LCP2/ERN1/IQGAP1/KDR/FLT1/ADAM9/ACE/ROBO1/SASH1/TEK/ERP29/IGF1R/RPTOR/PRKAG2/EGR1/P2RY12/HSP90AA1/ADAM8/MERTK/PKD1/PRLR/RPS3/CD24/TLR4/DIPK2A/ABL1/ADAM17/DVL3/TAB1/PARK7/TGFB1/CDKN1A/FGFR3/CALM1/PPP2CA/TAOK2/IRS1/RYK/TGFBR2/PTPN1/ITGB1BP1/EPHB4/CD300A/PKD2/ZNF16/TXN/FGFR1/RELN/DLG4/PTPRC/ITGB3/PILRB/RASSF2/PDGFA/CIB1/TRAF4/MRE11/PIK3R5/DDR2/PROX1/CD4/PDCD10/RAPGEF2/DUSP19/CARD14/TNFRSF11A/CSF1/EPHA2/FGFR4/JTB/DGKZ/DOK7/CLSPN/DAXX/IGF1/ELANE/PRKAG1/RIPK3/CALM2/AGAP2/TIE1/ARHGEF5/DDX3X/PIBF1/STRADA/ZFP91/TPX2/TREM2/PIK3CG/HSP90AB1/CD86/DUSP12/PTK2B/ALS2/NRG1/AXIN2/NEDD9/IL34/MAP3K10/CENPE/MARK2/PDGFRA/TLR6/FERMT2/NCF1/PSMD10/FGF2/CCDC88A/MET/TRAF6/PTK2/FLT3/ZNF622/PRKD1/PINK1/TNFSF11/DRD4/MMD/PIH1D1/JAK2/SNX9/RASGRP1/TIRAP/FCGR1A/PDGFRB/NTRK3/CRIPTO/TPD52L1/LAT	132
GO:0071496	cellular response to external stimulus	135/5381	346/18870	1.40888240389363e-05	0.000709695234850985	0.000567510828802861	VCAM1/FOLR2/KIF26A/AXL/KCNJ2/PDE2A/CSNK1A1/ATG5/CREBBP/ENG/F11R/PLEC/SEH1L/SP1/USF2/DEPDC5/TSC2/HFE/IGF1R/RPTOR/PRKAG2/RRAGC/RIPOR1/NPRL3/BMP6/CASP2/DSC2/NUDT15/NONO/EP300/WIPI1/TNFRSF1A/RHEB/CYSLTR1/TLR4/MAP3K1/OGT/TLR8/CBL/FBXO22/PIEZO1/NUDT1/PRKAA1/CDKN1A/TBL2/SZT2/RNF152/BECN1/MAP1LC3B2/TP53/FNIP1/ERCC6/TNFSF14/ARHGAP35/TSC1/COL1A1/GABARAPL2/SESN1/PTPRC/ITGB3/SNAI2/MAP1LC3B/RXRA/RXRB/LYN/ATF3/GABARAPL1/RNF167/ULK1/PIK3C3/PPARA/CASP8AP2/TNFRSF11A/PRKAG1/IMPACT/SLC39A4/MYBBP1A/MAP3K14/MAP1LC3A/PIK3C2B/XBP1/RRAGA/MAX/BMPR2/ATF4/BHLHA15/AQP1/CTSK/GLUL/TMEM87A/MDM2/GABARAP/DCTPP1/AKR1C3/BAK1/PTGER4/MYOCD/SRD5A1/WNT4/CASP8/CPEB4/UCP2/FLCN/HSPA5/SLC34A1/MAG/SESN3/KANK2/PRKAB1/PLIN2/CLEC16A/WDR24/FGF2/FAS/NR1H4/MTMR3/CNN2/MED1/KAT5/TBC1D7/PRKD1/FOS/GLRX2/GAS2L1/PRKAA2/EIF2AK4/DNAJC15/TLR7/PIEZO2/ELAPOR1/IL33/WNT11/MAPKAP1/FADD/LAMP2	135
GO:0045727	positive regulation of translation	64/5381	141/18870	1.41135510465399e-05	0.000709695234850985	0.000567510828802861	RPS27L/YTHDF1/LARP4B/TRMT10C/PLXNB2/CPEB3/RPL26/SERP1/AGO2/UQCC2/NGRN/POLR2G/RPUSD4/PRKDC/NCK2/PAIP1/OGT/RPS4X/TOB1/HNRNPD/DHX29/CDK5RAP1/EIF3C/LARP1/KHDRBS1/METTL5/EIF3E/IMPACT/FMR1/SOX4/SSB/DDX3X/EEF2/TRUB2/HNRNPU/USP16/RPL5/PTK2B/LARP6/METTL14/C1QBP/EIF2B5/CDC123/PTAFR/LARP1B/MPV17L2/NPM1/PPP1R15A/RMND1/FXR1/LARP4/RPS6KB2/FASTKD3/PINK1/YTHDF2/METTL8/EIF2AK4/PYM1/PIWIL2/RBM3/CSDE1/ELAVL1/COA3/TENT4A	64
GO:0009895	negative regulation of catabolic process	136/5381	349/18870	1.4114807600254e-05	0.000709695234850985	0.000567510828802861	IL10RA/ATP13A2/HMOX1/RELA/STYX/TIMP2/HIPK2/THRAP3/BSCL2/LARP4B/ANXA2/RPS7/FOXK1/TAF15/NAF1/ZCCHC17/HCAR2/SMAD4/TSC2/HFE/HDAC4/RPTOR/RRAGC/ACACB/RASIP1/PRKACA/SUFU/SNX12/HERC1/EP300/RPL11/PAIP1/OGT/PRKAA1/TAF9/PARK7/ZDHHC7/GPLD1/PPP2CA/USP7/TOB1/BECN1/SMAD3/EIF3H/CAMLG/TP53/GATA4/IRAK3/ATRAID/HNRNPD/RUBCN/HMGCR/SMCR8/MAD2L1/TSC1/AQP11/NSUN2/GABARAPL2/SLIRP/PHF23/PHAX/TRIM39/LARP1/DKC1/CST3/PPARA/NMNAT1/IGF2BP2/GIPC1/APOC3/FURIN/USP38/APOA2/AGAP2/FMR1/DEDD/NQO1/TAF1/DDRGK1/RRAGA/CCAR2/TREM2/CIDEA/PIK3CG/HNRNPU/HSP90AB1/PDCL3/BAG6/SVIP/USP9X/RPL5/GIT1/HNRNPC/TIMP1/SORL1/AXIN2/MAP1A/MCL1/LRIG2/BANP/FLCN/ANGEL2/SHH/RIC1/CLEC16A/LARP1B/WNK1/SCFD1/CDK5RAP3/IGF2BP3/FEZ1/LEPR/METTL1/PML/MET/TARDBP/MAPK14/RBM47/LRPPRC/E2F1/NOP53/PFKFB1/A1CF/PINK1/NPC1/SERPINE2/TIRAP/RNF41/MTM1/NRBP2/CSDE1/ELAVL1/BMF/PBK/LAMP3/TENT4A	136
GO:0032970	regulation of actin filament-based process	146/5381	379/18870	1.41199430903559e-05	0.000709695234850985	0.000567510828802861	ARHGEF18/PDXP/CSF1R/SHANK3/SPTBN2/KCNJ2/ARPC5/SSH2/FSCN1/NF2/CCL24/SPTBN1/F11R/DSTN/CLASP1/BST2/SMAD4/FCHSD2/ROCK2/CYFIP1/BMP10/DLC1/BRK1/LIMCH1/SSH1/DSC2/PREX1/RAPGEF3/CAPG/JUP/LRP1/SSH3/NCK2/CYRIA/CTTN/ABL1/CORO1B/WASHC3/TMSB10/TPM1/NCKAP1L/PLEKHG2/ARPC3/TAOK2/TMOD3/FHOD1/SMAD3/S100A10/STMN1/GATA4/ARHGAP6/HCK/LATS1/ITGB1BP1/NRP1/CDC42EP4/HAX1/MYH9/SH3BP1/ALMS1/ARHGAP35/ARHGAP17/TSC1/ABITRAM/CGNL1/ITGB3/SUMO1/AKAP13/HCLS1/SEMA5A/DAAM2/PDGFA/KANK3/F2RL1/PROX1/TJP1/WDR1/COTL1/RHOC/ZEB2/ADD3/GPR65/MKKS/S1PR1/EVL/CXCL12/SPTBN4/ATP2A1/ARHGEF10L/ARHGEF5/PDE4B/WAS/PLEK/ARFGEF1/PDE4D/RAC3/CARMIL2/KANK1/RANGRF/ARF6/FLII/PTK2B/SYNPO2/NAA80/SIGLEC15/PPFIA1/PTGER4/WNT4/NEDD9/PYCARD/ELN/ARHGAP18/SVIL/GSN/ARPC5L/KANK2/PDGFRA/EPS8/ACTA2/FERMT2/WASF3/ALOX15/CAMK2D/CCDC88A/MET/CNN2/PPM1F/CLASP2/FER/SORBS3/PRKD1/TRIOBP/CARMIL1/ARPC2/AVIL/ARHGEF15/ARHGEF10/ADCY10/SNX9/TMOD2/IQGAP2/CTNNA3/ESAM/PDGFRB/PEAK3/WNT11	146
GO:0072595	maintenance of protein localization in organelle	25/5381	41/18870	1.4667124335339e-05	0.000731392900911037	0.000584861460234694	TAF8/SKP1/KDELR3/SUN1/HK2/PARK7/TXN/SP100/TMED2/ARL2BP/INSIG2/SYNE1/CIZ1/KDELR2/INSIG1/HNRNPU/HK1/CDK5/HSPA5/RANGAP1/PML/CHCHD10/KDELR1/SUN2/PINK1	25
GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process	30/5381	53/18870	1.69572039547595e-05	0.00083616976767567	0.000668646729709483	STYX/HIPK2/RPS7/HFE/SUFU/RPL11/OGT/TAF9/PARK7/USP7/EIF3H/CAMLG/TRIM39/GIPC1/USP38/TAF1/DDRGK1/CCAR2/HSP90AB1/PDCL3/BAG6/SVIP/USP9X/RPL5/MAP1A/SHH/PML/NOP53/MTM1/PBK	30
